Record ID,Account,Product,Vendor,Current Qty,Reorder Threshold,Avg Daily Usage,Days of Cover,Documentation Status,Vendor Follow-up,Client Reporting Status,Last Review Date,Next Action Due,AI Risk Type,AI Risk Score,AI Risk Rating,Owner,Workflow Status,AI Recommended Action
IR-001,SeaWorld,Collectible Coin - Gold Series,MintWorks Supply,194,60,15,12.9,Missing reorder approval,Due in 24 hrs,Sent,2026-05-11,2026-06-13,Documentation Control Gap,20,Low,Fulfillment Lead,Open,Review Collectible Coin - Gold Series; confirm replenishment need; update SeaWorld reporting log; attach evidence.
IR-002,SeaWorld,Limited Edition Token,MintWorks Supply,12,40,14,0.9,Missing reorder approval,Escalated,Sent,2026-05-15,2026-06-05,Stockout Risk,90,High,Fulfillment Lead,Resolved,Review Limited Edition Token; confirm replenishment need; update SeaWorld reporting log; attach evidence.
IR-003,Disney,Limited Edition Token,Coastal Collectibles,212,40,32,6.6,Missing reorder approval,Overdue 5 days,Pending,2026-05-24,2026-06-04,Documentation Control Gap,50,Medium,Vendor Manager,Escalated,Review Limited Edition Token; confirm replenishment need; update Disney reporting log; attach evidence.
IR-004,Disney,Collectible Coin - Gold Series,ParkVend Fulfillment,29,60,35,0.8,Missing vendor confirmation,Escalated,Pending,2026-05-31,2026-06-13,Stockout Risk,95,High,Project Analyst,Monitoring,Review Collectible Coin - Gold Series; confirm replenishment need; update Disney reporting log; attach evidence.
IR-005,Disney,Limited Edition Token,MintWorks Supply,146,60,34,4.3,Evidence not attached,Overdue 2 days,Drafted,2026-05-30,2026-06-02,Documentation Control Gap,55,Medium,Vendor Manager,Escalated,Review Limited Edition Token; confirm replenishment need; update Disney reporting log; attach evidence.
IR-006,Disney,Collectible Coin - Silver Series,MintWorks Supply,102,60,22,4.6,Missing vendor confirmation,Due in 24 hrs,Pending,2026-05-21,2026-06-05,Documentation Control Gap,50,Medium,Compliance Analyst,Open,Review Collectible Coin - Silver Series; confirm replenishment need; update Disney reporting log; attach evidence.
IR-007,SeaWorld,Seasonal Event Coin,Heritage Tokens,141,100,15,9.4,Missing reorder approval,Overdue 5 days,Overdue,2026-05-24,2026-06-12,Documentation Control Gap,50,Medium,Fulfillment Lead,In Review,Review Seasonal Event Coin; confirm replenishment need; update SeaWorld reporting log; attach evidence.
IR-008,SeaWorld,Pressed Penny - Park Icon,MintWorks Supply,63,40,33,1.9,Missing vendor confirmation,Overdue 5 days,Pending,2026-05-30,2026-06-05,Documentation Control Gap,60,Medium,Fulfillment Lead,Escalated,Review Pressed Penny - Park Icon; confirm replenishment need; update SeaWorld reporting log; attach evidence.
IR-009,Disney,Seasonal Event Coin,ParkVend Fulfillment,106,100,22,4.8,Missing reorder approval,Overdue 2 days,Drafted,2026-05-25,2026-06-13,Documentation Control Gap,65,Medium,Fulfillment Lead,Monitoring,Review Seasonal Event Coin; confirm replenishment need; update Disney reporting log; attach evidence.
IR-010,Universal Studios,Seasonal Event Coin,ParkVend Fulfillment,234,90,20,11.7,Missing vendor confirmation,Due in 24 hrs,Drafted,2026-05-16,2026-06-09,Documentation Control Gap,20,Low,Commercial Ops,Open,Review Seasonal Event Coin; confirm replenishment need; update Universal Studios reporting log; attach evidence.
IR-011,Disney,Collectible Coin - Silver Series,Heritage Tokens,207,100,21,9.9,Evidence not attached,Current,Overdue,2026-05-20,2026-06-11,Documentation Control Gap,25,Low,Project Analyst,Monitoring,Review Collectible Coin - Silver Series; confirm replenishment need; update Disney reporting log; attach evidence.
