Use Case ID,AI Tool / Vendor,Business Use Case,Business Area,Platform Type,Model Type,Data Sensitivity,Customer Impact,Human Oversight,Approval Status,Review Status,Evidence Gap,Next Review Date,Risk Score,Risk Tier,Control Owner,AI Review Note
AI-001,AuditTrail AI,Audit evidence indexing,Internal Audit,Internal workflow,Embeddings search,Low,Customer-impacting,Human review after output,Approved,Complete,None,2026-08-16,7,Moderate,Business Owner,Human review requirement must be documented before production use.
AI-002,HRScreen AI,Recruiting resume screening,Human Resources,Vendor-hosted SaaS,Ranking model,Moderate,Internal only,Human review after output,Approved,Not Started,Vendor due diligence,2026-05-25,8,Moderate,Risk,Explainability is not sufficient for high-impact workflow.
AI-003,LoanSignal AI,Credit underwriting decision support,Lending,Internal model with vendor data,Gradient boosting model,Moderate,Customer-facing,Human-in-the-loop,Pending Review,In Progress,Human oversight attestation,2026-08-19,8,Moderate,IT Security,Use case is low risk if limited to internal documentation and no customer data.
AI-004,ScreenWise AI,Sanctions screening triage,Financial Crime Compliance,Vendor-hosted SaaS,Hybrid rules + ML,Moderate,Customer-impacting,Human-in-the-loop,Approved,Complete,Model card,2026-07-06,7,Moderate,Business Owner,Use case is low risk if limited to internal documentation and no customer data.
AI-005,LexiAssist AI,Customer service chatbot,Customer Support,Vendor-hosted SaaS,OpenAI API,High,Customer-facing,Manual approval required,Approved,Missing Evidence,Vendor due diligence,2026-08-10,10,Moderate,IT Security,High-impact customer decision support requires stronger model governance evidence.
AI-006,BranchBot AI,Branch knowledge assistant,Branch Operations,Vendor-hosted SaaS,LLM assistant,Low,Customer-impacting,Limited oversight,Retired,In Progress,Human oversight attestation,2026-06-03,10,Moderate,IT Security,Evidence package is ready for compliance review.
AI-007,AuditTrail AI,Audit evidence indexing,Internal Audit,Internal workflow,Embeddings search,High,Internal only,Limited oversight,Approved,Missing Evidence,None,2026-08-19,11,High,Compliance,Vendor documentation is incomplete; SOC report and subcontractor list are pending.
AI-008,FraudPattern AI,Fraud pattern detection,Fraud Operations,Vendor-hosted SaaS,Anomaly detection model,High,Internal only,Manual approval required,Conditional Approval,Not Started,None,2026-06-19,10,Moderate,IT Security,Customer data exposure requires documented approval and role-based access review.
AI-009,LoanSignal AI,Credit underwriting decision support,Lending,Internal model with vendor data,Gradient boosting model,High,Customer-impacting,Manual approval required,Conditional Approval,In Progress,None,2026-08-02,11,High,IT Security,High-impact customer decision support requires stronger model governance evidence.
AI-010,AuditTrail AI,Audit evidence indexing,Internal Audit,Internal workflow,Embeddings search,High,Customer-impacting,Manual approval required,Approved,In Progress,None,2026-06-22,10,Moderate,Business Owner,Use case is low risk if limited to internal documentation and no customer data.
AI-011,BranchBot AI,Branch knowledge assistant,Branch Operations,Vendor-hosted SaaS,LLM assistant,High,Customer-impacting,Manual approval required,Conditional Approval,In Progress,Human oversight attestation,2026-07-26,11,High,Compliance,Customer data exposure requires documented approval and role-based access review.
AI-012,ClearDoc AI,Compliance policy summarization,Compliance,Vendor-hosted SaaS,Proprietary LLM,Low,Internal only,Manual approval required,Pending Review,Overdue,Vendor due diligence,2026-07-09,10,Moderate,Vendor Management,Use case is low risk if limited to internal documentation and no customer data.
AI-013,FraudPattern AI,Fraud pattern detection,Fraud Operations,Vendor-hosted SaaS,Anomaly detection model,Restricted,Internal only,Human-in-the-loop,Pending Review,Not Started,Model card,2026-08-26,11,High,IT Security,Human review requirement must be documented before production use.
AI-014,VoiceCheck AI,Call center QA scoring,Operations,Vendor-hosted SaaS,Speech analytics model,Moderate,Customer-facing,Limited oversight,Retired,In Progress,SOC 2,2026-07-25,9,Moderate,IT Security,High-impact customer decision support requires stronger model governance evidence.
AI-015,ScreenWise AI,Sanctions screening triage,Financial Crime Compliance,Vendor-hosted SaaS,Hybrid rules + ML,Moderate,Internal only,Human-in-the-loop,Pending Review,Overdue,SOC 2,2026-05-24,10,Moderate,IT Security,Use case is low risk if limited to internal documentation and no customer data.
AI-016,LoanSignal AI,Credit underwriting decision support,Lending,Internal model with vendor data,Gradient boosting model,Low,Customer-impacting,Human-in-the-loop,Approved,Overdue,Vendor due diligence,2026-05-30,10,Moderate,Risk,Vendor documentation is incomplete; SOC report and subcontractor list are pending.
AI-017,AuditTrail AI,Audit evidence indexing,Internal Audit,Internal workflow,Embeddings search,High,Customer-facing,Limited oversight,Conditional Approval,Not Started,Data flow diagram,2026-07-15,13,High,Business Owner,High-impact customer decision support requires stronger model governance evidence.
AI-018,BranchBot AI,Branch knowledge assistant,Branch Operations,Vendor-hosted SaaS,LLM assistant,Moderate,Regulatory reporting support,Limited oversight,Conditional Approval,Not Started,SOC 2,2026-07-18,13,High,Risk,High-impact customer decision support requires stronger model governance evidence.
AI-019,ClearDoc AI,Compliance policy summarization,Compliance,Vendor-hosted SaaS,Proprietary LLM,Moderate,Customer-facing,Human review after output,Pending Review,Complete,None,2026-05-31,8,Moderate,Compliance,High-impact customer decision support requires stronger model governance evidence.
AI-020,ClearDoc AI,Compliance policy summarization,Compliance,Vendor-hosted SaaS,Proprietary LLM,Restricted,Customer-impacting,Human-in-the-loop,Conditional Approval,Missing Evidence,Human oversight attestation,2026-08-15,13,High,Risk,Vendor documentation is incomplete; SOC report and subcontractor list are pending.
AI-021,BranchBot AI,Branch knowledge assistant,Branch Operations,Vendor-hosted SaaS,LLM assistant,Restricted,Customer-facing,Manual approval required,Approved,Overdue,Data flow diagram,2026-07-13,12,High,Compliance,Human review requirement must be documented before production use.
AI-022,AuditTrail AI,Audit evidence indexing,Internal Audit,Internal workflow,Embeddings search,Moderate,Customer-facing,Manual approval required,Hold,Complete,None,2026-08-16,10,Moderate,Compliance,Customer data exposure requires documented approval and role-based access review.
AI-023,VendorGuard AI,Third-party due diligence summarization,Vendor Management,Vendor-hosted SaaS,LLM assistant,High,Customer-impacting,Human-in-the-loop,Approved,In Progress,Human oversight attestation,2026-07-29,9,Moderate,Risk,Explainability is not sufficient for high-impact workflow.
AI-024,ScreenWise AI,Sanctions screening triage,Financial Crime Compliance,Vendor-hosted SaaS,Hybrid rules + ML,Moderate,Internal only,Human-in-the-loop,Conditional Approval,Not Started,SOC 2,2026-06-03,8,Moderate,Business Owner,Customer data exposure requires documented approval and role-based access review.
